INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90595699693', 'Ellen', 'Dolton', '90595699693', '90595699693@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93349247061', 'Ana', 'Christie', '93349247061', '93349247061@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93362608417', 'Zoa', 'Hawes', '93362608417', '93362608417@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93425484544', 'Virgie', 'Coombes', '93425484544', '93425484544@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93425651583', 'Solomon', 'Blair', '93425651583', '93425651583@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93430440626', 'Mazie', 'Hobson', '93430440626', '93430440626@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93438276727', 'Mace', 'Ashbridge', '93438276727', '93438276727@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93444899585', 'Anastacio', 'Hogan', '93444899585', '93444899585@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93453658663', 'Sim', 'Layton', '93453658663', '93453658663@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93453826003', 'Burl', 'Baldwin', '93453826003', '93453826003@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93464647801', 'Seth', 'Lovegrove', '93464647801', '93464647801@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93481623501', 'Reba', 'Lindo', '93481623501', '93481623501@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93483669792', 'Birt', 'Maguire', '93483669792', '93483669792@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93494568883', 'Corine', 'Garrett', '93494568883', '93494568883@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93499090601', 'Viva', 'Hawker', '93499090601', '93499090601@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93513636033', 'Leroy', 'Craig', '93513636033', '93513636033@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93528031725', 'Gracie', 'Varey', '93528031725', '93528031725@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93571014165', 'Maymie', 'Aziz', '93571014165', '93571014165@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93614225261', 'Inez', 'Pennington', '93614225261', '93614225261@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93632625560', 'Ola', 'Reardon', '93632625560', '93632625560@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93678829046', 'Junie', 'Mills', '93678829046', '93678829046@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93687054714', 'Adda', 'Russell', '93687054714', '93687054714@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93714211311', 'Lila', 'Elmhirst', '93714211311', '93714211311@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93715295740', 'Fletcher', 'Irvine', '93715295740', '93715295740@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93730035818', 'Thurman', 'Dalby', '93730035818', '93730035818@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93752840201', 'Gee', 'Kelk', '93752840201', '93752840201@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93774429844', 'Lauretta', 'Peebles', '93774429844', '93774429844@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93800369324', 'Huldah', 'Abel', '93800369324', '93800369324@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93823455702', 'Huston', 'Bourne', '93823455702', '93823455702@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93838202846', 'Rena', 'Farrant', '93838202846', '93838202846@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93878650459', 'Lindsey', 'Rice', '93878650459', '93878650459@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93884275335', 'Clay', 'Lindsay', '93884275335', '93884275335@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93962027198', 'Laurence', 'Overson', '93962027198', '93962027198@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93989239019', 'Augusta', 'Spicer', '93989239019', '93989239019@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94028720435', 'Wilma', 'Nesbitt', '94028720435', '94028720435@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94084214223', 'Miguel', 'Edge', '94084214223', '94084214223@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94084694004', 'Wilhelmina', 'Fossard', '94084694004', '94084694004@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94088402901', 'Miner', 'Woolley', '94088402901', '94088402901@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94094143116', 'Minnie', 'Nettleton', '94094143116', '94094143116@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94101858391', 'Lovisa', 'Plastow', '94101858391', '94101858391@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94197491641', 'Norval', 'Robert', '94197491641', '94197491641@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94229091504', 'Lida', 'Kirkwood', '94229091504', '94229091504@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94242296011', 'Justin', 'Rigley', '94242296011', '94242296011@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94248209029', 'Marcella', 'Halford', '94248209029', '94248209029@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94254330736', 'Millie', 'Squires', '94254330736', '94254330736@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94296250552', 'Bird', 'Turvey', '94296250552', '94296250552@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94322030214', 'Soloman', 'Kearton', '94322030214', '94322030214@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94330028952', 'Gardner', 'Kilburn', '94330028952', '94330028952@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94349815619', 'Letty', 'Lord', '94349815619', '94349815619@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94378214220', 'Annabelle', 'Rawsthorne', '94378214220', '94378214220@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94378679528', 'Caesar', 'Heaton', '94378679528', '94378679528@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94380489095', 'Budd', 'Breen', '94380489095', '94380489095@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94388050968', 'Dayton', 'Rand', '94388050968', '94388050968@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94393449629', 'Bertrand', 'Lester', '94393449629', '94393449629@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94398417093', 'Nealie', 'Kitchin', '94398417093', '94398417093@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94425222624', 'Orval', 'Saxton', '94425222624', '94425222624@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94448263734', 'Payton', 'Binnington', '94448263734', '94448263734@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94526846542', 'Casper', 'Quirk', '94526846542', '94526846542@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94532222148', 'Lenore', 'Keaveney', '94532222148', '94532222148@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94541434141', 'Emilie', 'Vallance', '94541434141', '94541434141@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94546865106', 'Estie', 'Kenney', '94546865106', '94546865106@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94573651499', 'Maude', 'Maloney', '94573651499', '94573651499@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94584231073', 'Felix', 'Clarke', '94584231073', '94584231073@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94589481016', 'Iona', 'Perrin', '94589481016', '94589481016@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94624482762', 'Lucien', 'Turnbull', '94624482762', '94624482762@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94627623200', 'Montgomery', 'Isbitt', '94627623200', '94627623200@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94629435275', 'Amanda', 'Mullins', '94629435275', '94629435275@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94671290746', 'Cassius', 'Good', '94671290746', '94671290746@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94681899519', 'Vernon', 'Altham', '94681899519', '94681899519@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94703232954', 'Babe', 'Maynard', '94703232954', '94703232954@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94752255118', 'Lora', 'Yarnall', '94752255118', '94752255118@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94759070660', 'Elizebeth', 'Thorne', '94759070660', '94759070660@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94768479526', 'Tilmon', 'Eccleston', '94768479526', '94768479526@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94773609137', 'Cruz', 'Roome', '94773609137', '94773609137@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94805030336', 'Bella', 'Gill', '94805030336', '94805030336@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94809655311', 'Mathias', 'Gibson', '94809655311', '94809655311@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94811446684', 'Iva', 'Wolf', '94811446684', '94811446684@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94813241450', 'Evaline', 'Healey', '94813241450', '94813241450@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94818261792', 'Ossie', 'Otoole', '94818261792', '94818261792@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94828273369', 'Avis', 'Copley', '94828273369', '94828273369@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94840848175', 'Charles', 'Rothery', '94840848175', '94840848175@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94842276669', 'Liller', 'Lee', '94842276669', '94842276669@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94844280846', 'Hoy', 'Godwin', '94844280846', '94844280846@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94848164615', 'Tommie', 'Norsworthy', '94848164615', '94848164615@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94854929366', 'Cassie', 'Fairclough', '94854929366', '94854929366@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94891658820', 'Burt', 'North', '94891658820', '94891658820@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94901012531', 'Lucretia', 'Kidman', '94901012531', '94901012531@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94949282665', 'Clayton', 'Enright', '94949282665', '94949282665@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('94997039644', 'Mathew', 'Driver', '94997039644', '94997039644@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95035258961', 'Ephriam', 'Parish', '95035258961', '95035258961@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95063672501', 'Sumner', 'Faulkner', '95063672501', '95063672501@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95073480806', 'Minor', 'Tinsley', '95073480806', '95073480806@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95079404746', 'Stanton', 'Paskell', '95079404746', '95079404746@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95120605804', 'Dicie', 'Tamber', '95120605804', '95120605804@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95144128483', 'Annis', 'Dean', '95144128483', '95144128483@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95180813938', 'Libbie', 'Crouch', '95180813938', '95180813938@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95188275408', 'Olivia', 'Rickard', '95188275408', '95188275408@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95190167001', 'Elbert', 'Nairn', '95190167001', '95190167001@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95205489838', 'Samantha', 'Blackburn', '95205489838', '95205489838@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95211011721', 'Eugenie', 'Underwood', '95211011721', '95211011721@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95246644696', 'Elder', 'Mccallum', '95246644696', '95246644696@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95247044350', 'Zilpha', 'Rodrigues', '95247044350', '95247044350@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95255224128', 'Zola', 'Levin', '95255224128', '95255224128@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95280278367', 'Nolia', 'Bolton', '95280278367', '95280278367@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95284412570', 'Sampson', 'Andrews', '95284412570', '95284412570@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95285625782', 'Jerry', 'Connor', '95285625782', '95285625782@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95316024705', 'Etha', 'Bayliss', '95316024705', '95316024705@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95335845477', 'John', 'Bloom', '95335845477', '95335845477@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95345028053', 'Emile', 'Opayne', '95345028053', '95345028053@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95367056776', 'Mike', 'Garbett', '95367056776', '95367056776@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95371477570', 'Rufus', 'Hull', '95371477570', '95371477570@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95396052584', 'Nona', 'Fothergill', '95396052584', '95396052584@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95428916956', 'Harold', 'Levann', '95428916956', '95428916956@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95439854487', 'Classie', 'Killock', '95439854487', '95439854487@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95455492549', 'Micheal', 'Alliott', '95455492549', '95455492549@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95461867063', 'Dana', 'Leech', '95461867063', '95461867063@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95462252442', 'Iris', 'Routledge', '95462252442', '95462252442@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95551402113', 'Merida', 'Uttridge', '95551402113', '95551402113@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95580298373', 'Hector', 'Daniels', '95580298373', '95580298373@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95587484076', 'Una', 'Jenner', '95587484076', '95587484076@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95597462685', 'Orilla', 'Waugh', '95597462685', '95597462685@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95651833441', 'Ivy', 'Freight', '95651833441', '95651833441@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95681021643', 'Adah', 'Jarram', '95681021643', '95681021643@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95691264502', 'Ted', 'Herron', '95691264502', '95691264502@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95705096741', 'Angie', 'Millward', '95705096741', '95705096741@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95719095405', 'Addie', 'Haslam', '95719095405', '95719095405@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95769258039', 'Bell', 'Nicol', '95769258039', '95769258039@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95840260913', 'Angeline', 'Bob', '95840260913', '95840260913@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95910833251', 'Olen', 'Geeson', '95910833251', '95910833251@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95948208837', 'Lula', 'Rigby', '95948208837', '95948208837@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95960490812', 'Seymour', 'Rigg', '95960490812', '95960490812@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95967299282', 'Moses', 'Reygan', '95967299282', '95967299282@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95977486882', 'Karl', 'Ogilvie', '95977486882', '95977486882@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('95984891370', 'Wash', 'Devaney', '95984891370', '95984891370@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96001200200', 'Donna', 'Aldworth', '96001200200', '96001200200@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96011068598', 'Bena', 'Fryer', '96011068598', '96011068598@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96044686516', 'Raleigh', 'Christy', '96044686516', '96044686516@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96086611120', 'Maybelle', 'Knuckles', '96086611120', '96086611120@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96107632081', 'Johannah', 'Edgell', '96107632081', '96107632081@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96112046549', 'Neil', 'Bedford', '96112046549', '96112046549@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96113675098', 'Bernie', 'Lumley', '96113675098', '96113675098@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96125251560', 'Creed', 'George', '96125251560', '96125251560@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96156661879', 'Bertie', 'Blanchard', '96156661879', '96156661879@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96177237132', 'Ferd', 'Rees', '96177237132', '96177237132@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96182038834', 'Winifred', 'Turrell', '96182038834', '96182038834@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96182097682', 'Elmire', 'Thatcher', '96182097682', '96182097682@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96196039010', 'Eva', 'Alexander', '96196039010', '96196039010@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96216878049', 'Gregory', 'Bryant', '96216878049', '96216878049@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96226434901', 'Ludie', 'Rhoades', '96226434901', '96226434901@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96233498144', 'Ed', 'Kennedy', '96233498144', '96233498144@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96261413822', 'Milford', 'Mcmillan', '96261413822', '96261413822@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96276858704', 'Edmund', 'Jacob', '96276858704', '96276858704@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96281293008', 'George', 'Greer', '96281293008', '96281293008@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96283479626', 'Alberta', 'Rolfe', '96283479626', '96283479626@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96299482161', 'Spurgeon', 'Lynas', '96299482161', '96299482161@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96304607874', 'Anner', 'Radford', '96304607874', '96304607874@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96307085831', 'Smith', 'Jobson', '96307085831', '96307085831@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96307688318', 'Evelyn', 'Jewers', '96307688318', '96307688318@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('96348487779', 'Orson', 'Fairchild', '96348487779', '96348487779@mail.com');
